,in_degree,clustering,influence0.5,influence0.55,influence0.6,influence0.65,influence0.67
754032,646,0.010269517843857249,21.21324370737517,23.32331751292945,25.433391318483718,27.543465124038,29.653538929592273
66915,418,0.01508267070554083,13.772435222570799,15.133155226149585,16.49387522972837,17.854595233307155,19.215315236885942
894465,358,0.017480164629661506,11.820522262808995,12.98342444382293,14.146326624836862,15.309228805850795,16.472130986864727
531986,263,0.020956085101442545,8.728239950638697,9.578105925179692,10.427971899720681,11.277837874261678,12.127703848802671
139026,245,0.022934091669454666,8.1495611007931,8.939392224756343,9.729223348719588,10.519054472682829,11.308885596646073
354105,233,0.020905020905020905,7.745437442483131,8.497079108569165,9.248720774655197,10.000362440741233,10.752004106827265
100160,200,0.023417085427135678,6.678422577091478,7.320610714519109,7.962798851946738,8.604986989374368,9.247175126801999
41874,199,0.019009187350895893,6.621526893672427,7.262854447466279,7.90418200126013,8.545509555053982,9.186837108847831
840402,189,0.03042328042328042,6.356541703472025,6.9588662565290775,7.5611908095861295,8.163515362643185,8.765839915700235
549797,187,0.028635501121269624,6.281247354160606,6.878001038197434,7.474754722234261,8.071508406271088,8.668262090307914
316834,187,0.01995284917486056,6.2336868244591574,6.83519656146613,7.436706298473101,8.038216035480072,8.639725772487045
771438,183,0.033147180688164295,6.174957716884992,6.756139756746645,7.337321796608298,7.918503836469951,8.499685876331604
180228,182,0.017940622912998604,6.058910753590095,6.645147337805554,7.2313839220210125,7.81762050623647,8.403857090451929
631774,178,0.027202894870492635,5.9786431994161795,6.546705931146294,7.114768662876408,7.682831394606523,8.250894126336638
379125,179,0.018203502604983993,5.962098436938007,6.538365796891624,7.114633156845238,7.6909005167988544,8.267167876752469
418740,176,0.03538961038961039,5.957985643117456,6.515013826526077,7.072042009934695,7.629070193343314,8.186098376751932
423829,176,0.01691778153006884,5.856803427069093,6.423949832082549,6.991096237096004,7.558242642109461,8.125389047122914
120521,171,0.02934296525627795,5.761110437128275,6.305075381257393,6.84904032538651,7.393005269515629,7.936970213644746
577627,169,0.03194561848408002,5.709865341204554,6.2458544909746765,6.781843640744798,7.317832790514921,7.853821940285042
128099,169,0.023599859105318775,5.66415019112545,6.204710855903483,6.745271520681515,7.285832185459548,7.826392850237579
75747,162,0.02403956751782839,5.43730344082647,5.954697716804614,6.472091992782757,6.9894862687609,7.506880544739043
490004,160,0.03333333333333333,5.422709918745324,5.928463242980213,6.4342165672151035,6.939969891449994,7.445723215684884
346336,158,0.026082399419495285,5.317490319777102,5.820665299957447,6.323840280137792,6.827015260318135,7.33019024049848
617196,150,0.02384787472035794,5.043244296205397,5.5214426629374405,5.999641029669484,6.477839396401528,6.956037763133572
357406,149,0.026165427172138583,5.023188277852712,5.4968420944443395,5.970495911035968,6.444149727627598,6.917803544219225
622805,149,0.017322691819336114,4.974750867256868,5.453248424908081,5.931745982559294,6.410243540210508,6.888741097861719
446509,141,0.03657918735434188,4.8182251338072515,5.259974048997956,5.701722964188658,6.143471879379362,6.5852207945700645
562304,137,0.04240017174753113,4.719107410304479,5.144567489942723,5.570027569580969,5.995487649219213,6.420947728857459
238115,134,0.0255863539445629,4.528754919126876,4.95359979195583,5.378444664784783,5.803289537613738,6.22813441044269
270491,133,0.023125996810207338,4.4825271836323735,4.905444678035094,5.328362172437814,5.751279666840534,6.174197161243254
175553,133,0.021647487752079298,4.474428428274336,4.89815579821286,5.321883168151383,5.745610538089908,6.169337908028432
816890,123,0.03165400506464081,4.201733030507708,4.587228420466056,4.972723810424403,5.358219200382751,5.743714590341098
489303,122,0.03698685814930226,4.1981937741067945,4.57749293772955,4.956792101352305,5.33609126497506,5.715390428597815
467203,122,0.025064354423519848,4.132886469833217,4.518716363883331,4.904546257933443,5.290376151983556,5.676206046033668
361393,122,0.0220159869936323,4.116188579535995,4.503688262615832,4.891187945695665,5.278687628775501,5.666187311855335
852855,120,0.03368347338935574,4.114597468337518,4.489155958585833,4.863714448834148,5.238272939082463,5.612831429330778
46861,120,0.02079831932773109,4.044017102311319,4.425633629162254,4.807250156013189,5.1888666828641234,5.570483209715058
608701,118,0.036650731565985806,4.0653495507649575,4.431732528819161,4.798115506873364,5.1644984849275675,5.53088146298177
104714,116,0.03605697151424288,3.996595621174032,4.356753688235959,4.716911755297888,5.0770698223598165,5.437227889421743
410219,114,0.04137556280080733,3.960227483754271,4.310922060606808,4.661616637459343,5.012311214311881,5.363005791164416
325459,115,0.028985507246376812,3.9251098540166813,4.285866345818661,4.646622837620639,5.007379329422619,5.368135821224598
84209,112,0.055341055341055344,3.971224046248734,4.307718662900457,4.644213279552179,4.980707896203901,5.317202512855623
91650,111,0.04430794430794431,3.878037764109552,4.2173008569995085,4.556563949889465,4.895827042779422,5.235090135669378
192382,110,0.04945788156797331,3.8734965588151447,4.206663620258859,4.539830681702572,4.872997743146285,5.206164804589998
927555,111,0.033087633087633087,3.816576824716051,4.161986011545358,4.507395198374664,4.852804385203972,5.198213572033278
414251,112,0.020994208494208494,3.7830840356053077,4.138392653321373,4.4937012710374376,4.8490098887535025,5.204318506469567
755156,109,0.032025144410465514,3.745255363701659,4.084696392681037,4.424137421660415,4.763578450639794,5.103019479619172
79016,108,0.028215336679937683,3.6916358099520865,4.0298886423307385,4.368141474709389,4.706394307088042,5.044647139466692
