artist_id,main_genre
759491,Pop/Rock
25462,Electronic
66915,Pop/Rock
71209,Pop/Rock
91438,Pop/Rock
113823,Pop/Rock
132710,Pop/Rock
208582,Pop/Rock
378288,Electronic
397880,Pop/Rock
489999,Pop/Rock
492331,Pop/Rock
615119,Pop/Rock
651107,Pop/Rock
747445,Pop/Rock
755156,Pop/Rock
838272,Pop/Rock
895136,Pop/Rock
899530,Pop/Rock
960690,Pop/Rock
988638,Pop/Rock
75264,Pop/Rock
91650,Pop/Rock
112789,Pop/Rock
134729,Pop/Rock
175775,Reggae
295756,Pop/Rock
359326,Pop/Rock
446509,Pop/Rock
485135,Pop/Rock
579839,Pop/Rock
741746,Pop/Rock
789064,Pop/Rock
790820,Pop/Rock
796045,Pop/Rock
806829,Pop/Rock
825087,Pop/Rock
863790,Pop/Rock
883318,Pop/Rock
151290,Jazz
286662,Country
748421,Pop/Rock
5953,Pop/Rock
12654,Comedy/Spoken
59537,Pop/Rock
61938,Pop/Rock
81493,Pop/Rock
84209,Pop/Rock
130932,Pop/Rock
139026,Pop/Rock
182598,Pop/Rock
187581,R&B;
200968,Pop/Rock
349157,Pop/Rock
354105,Pop/Rock
379125,Pop/Rock
390390,R&B;
485791,Pop/Rock
490004,Pop/Rock
503913,Pop/Rock
562304,Pop/Rock
574772,Pop/Rock
604852,Pop/Rock
623985,Pop/Rock
754032,Pop/Rock
771438,Pop/Rock
772567,Pop/Rock
840402,Pop/Rock
8828,Pop/Rock
81403,Pop/Rock
546214,Pop/Rock
628467,Pop/Rock
13384,Country
19241,Country
65397,Country
86312,Country
99753,Country
136640,Country
175286,Country
210512,Country
234325,Country
409954,Country
749175,Country
804289,Country
50493,Pop/Rock
96977,Pop/Rock
97325,Pop/Rock
219966,Pop/Rock
561105,Pop/Rock
607053,Pop/Rock
1528006,Classical
559405,Latin
156886,Jazz
112017,Vocal
203804,Comedy/Spoken
588679,Folk
744548,Comedy/Spoken
38936,Pop/Rock
41874,Pop/Rock
249175,Easy Listening
639397,Latin
642542,Pop/Rock
765585,Latin
781837,Latin
785283,International
792507,Vocal
798543,Latin
183867,Classical
346336,Pop/Rock
423829,Jazz
750519,Avant-Garde
840102,Pop/Rock
988440,Pop/Rock
133969,Pop/Rock
7689,R&B;
160690,R&B;
208774,R&B;
262255,R&B;
319347,R&B;
376204,R&B;
802302,R&B;
820434,R&B;
112462,Pop/Rock
176936,Blues
187478,Pop/Rock
192382,Pop/Rock
240865,Pop/Rock
255371,Pop/Rock
489303,Pop/Rock
824599,Blues
831381,Pop/Rock
894465,Pop/Rock
18977,Pop/Rock
19297,Pop/Rock
297894,Pop/Rock
517607,Pop/Rock
583618,Pop/Rock
626463,Pop/Rock
859509,Pop/Rock
101895,R&B;
239859,Classical
304458,Stage & Screen
649950,Pop/Rock
