,artist_id,in_degree,clustering,influence0.5,influence0.55,influence0.6,influence0.65,influence0.67,artist_name,popularity,count,main_genre,year
4376,202187,3,0.0,0.09825227963525836,0.1080775075987842,0.11790273556231005,0.12772796352583587,0.13755319148936168,Ernest Ranglin,46.66666667,6,Reggae,1950.0
2095,178889,20,0.08157894736842106,1.1018761305271678,1.122691556988129,1.14350698344909,1.164322409910051,1.185137836371012,Alton Ellis,47.28571429,14,Reggae,1950.0
250,785380,55,0.03198653198653199,1.9765028249174128,2.1391109010882867,2.301718977259159,2.4643270534300314,2.6269351296009043,"Lee ""Scratch"" Perry",42.81818182,11,Reggae,1960.0
3769,798477,5,0.1,0.7115188139867297,0.6731176924664761,0.6347165709462227,0.5963154494259689,0.5579143279057156,Freddie McGregor,46.0,10,Reggae,1960.0
4158,173988,10,0.0,0.3275075987841945,0.360258358662614,0.39300911854103343,0.4257598784194529,0.4585106382978724,Rita Marley,52.0,2,Reggae,1960.0
4225,69402,6,0.0,0.19650455927051672,0.2161550151975684,0.23580547112462005,0.2554559270516717,0.27510638297872336,Bob Marley & the Wailers,43.1320132,606,Reggae,1960.0
1551,75295,24,0.07971014492753623,1.2226425240777885,1.2575819190864228,1.292521314095057,1.327460709103692,1.3624001041123264,Ken Boothe,43.28571429,7,Reggae,1960.0
3737,128585,9,0.06944444444444445,0.6751492101520475,0.6665856569179978,0.658022103683948,0.6494585504498984,0.6408949972158486,Jackie Mittoo,28.0,4,Reggae,1960.0
4429,57188,3,0.0,0.09825227963525836,0.1080775075987842,0.11790273556231005,0.12772796352583587,0.13755319148936168,Bob Andy,50.5,4,Reggae,1960.0
3639,474648,7,0.09523809523809523,0.7509362854295384,0.7216937207163717,0.6924511560032052,0.6632085912900385,0.6339660265768721,The Melodians,50.0,2,Reggae,1960.0
4441,897783,3,0.0,0.09825227963525836,0.1080775075987842,0.11790273556231005,0.12772796352583587,0.13755319148936168,The Silvertones,21.0,2,Reggae,1960.0
1332,85448,24,0.09963768115942027,1.331798595826719,1.3558223836604602,1.3798461714942016,1.4038699593279431,1.4278937471616846,The Heptones,36.5,12,Reggae,1960.0
1253,359494,28,0.07142857142857142,1.3082820013061964,1.3608580564947257,1.413434111683255,1.4660101668717842,1.5185862220603137,Prince Buster,31.0,10,Reggae,1960.0
1228,93322,32,0.038306451612903226,1.2578536563775276,1.3416731539616595,1.425492651545791,1.509312149129923,1.5931316467140544,King Tubby,33.625,16,Reggae,1960.0
1043,819344,31,0.06774193548387097,1.386340179020915,1.4507608723650245,1.5151815657091334,1.5796022590532426,1.6440229523973515,Desmond Dekker,33.88888889,36,Reggae,1960.0
3896,836312,13,0.01282051282051282,0.4959861623418417,0.5315395217915481,0.5670928812412546,0.6026462406909611,0.6381996001406673,Junior Murvin,41.0,6,Reggae,1960.0
4756,28316,2,0.0,0.0655015197568389,0.0720516717325228,0.07860182370820669,0.08515197568389059,0.09170212765957446,Slim Smith,0.0,2,Reggae,1960.0
641,178014,36,0.07698412698412699,1.600719470033254,1.6764529941545483,1.752186518275843,1.8279200423971385,1.9036535665184324,U-Roy,39.0,8,Reggae,1960.0
461,295276,46,0.05942028985507247,1.8320185138041047,1.9501236533051536,2.0682287928062024,2.1863339323072517,2.3044390718082988,Jimmy Cliff,37.09589041,73,Reggae,1960.0
464,328014,46,0.05893719806763285,1.8293723060041311,1.9477420662851768,2.0661118265662237,2.184481586847269,2.3028513471283145,Peter Tosh,35.36363636,110,Reggae,1960.0
479,790988,46,0.051207729468599035,1.7870329812045458,1.9096366739655504,2.0322403667265547,2.1548440594875595,2.2774477522485634,Toots & the Maytals,39.225,80,Reggae,1960.0
619,425105,38,0.0689900426742532,1.622432192703405,1.7090947485090529,1.7957573043147002,1.8824198601203472,1.9690824159259943,The Skatalites,39.0,4,Reggae,1960.0
2458,923432,17,0.08455882352941177,1.0199465699800625,1.0293044965686824,1.0386624231573025,1.0480203497459222,1.0573782763345418,The Wailers,35.61111111,72,Reggae,1960.0
780,190021,31,0.0935483870967742,1.5276988924646917,1.5779837144644229,1.6282685364641545,1.678553358463886,1.7288381804636173,John Holt,42.52941176,17,Reggae,1960.0
2361,121459,5,0.2,1.259283828581362,1.1661062056016451,1.0729285826219286,0.9797509596422116,0.8865733366624949,Cornell Campbell,51.0,2,Reggae,1960.0
3898,573978,13,0.01282051282051282,0.4959861623418417,0.5315395217915481,0.5670928812412546,0.6026462406909611,0.6381996001406673,Marcia Griffiths,48.0,7,Reggae,1960.0
2335,334101,10,0.15555555555555556,1.1795865103758447,1.1271293790950991,1.0746722478143538,1.0222151165336075,0.9697579852528626,Max Romeo,49.85714286,7,Reggae,1960.0
2337,893111,10,0.15555555555555556,1.1795865103758447,1.1271293790950991,1.0746722478143538,1.0222151165336075,0.9697579852528626,The Paragons,25.42424242,33,Reggae,1960.0
2100,759668,16,0.11666666666666667,1.1630713417484488,1.1515666391845465,1.1400619366206437,1.1285572340567411,1.1170525314928383,Beres Hammond,46.15384615,13,Reggae,1970.0
2074,33580,11,0.16363636363636366,1.256601109817467,1.2029926705682428,1.1493842313190192,1.0957757920697953,1.0421673528205713,Super Cat,40.7,10,Reggae,1970.0
3318,289629,11,0.09090909090909093,0.8582265537486433,0.8444555701063019,0.8306845864639603,0.8169136028216188,0.8031426191792772,Linton Kwesi Johnson,37.85714286,14,Reggae,1970.0
3113,303651,5,0.15,0.9854013212840458,0.9196119490340604,0.8538225767840755,0.7880332045340904,0.7222438322841054,Scientist,25.5,4,Reggae,1970.0
1859,588943,7,0.21428571428571427,1.4030374932802911,1.308584807782049,1.2141321222838075,1.1196794367855656,1.0252267512873237,The Abyssinians,31.0,6,Reggae,1970.0
1858,109637,7,0.21428571428571427,1.4030374932802911,1.308584807782049,1.2141321222838075,1.1196794367855656,1.0252267512873237,Culture,39.44,25,Reggae,1970.0
2145,66395,14,0.13186813186813187,1.1808381300710142,1.154456444723487,1.12807475937596,1.1016930740284332,1.0753113886809065,The Congos,37.0,20,Reggae,1970.0
2321,697350,18,0.08496732026143791,1.0549349320422836,1.067344174400365,1.0797534167584468,1.0921626591165283,1.1045719014746105,Ziggy Marley,54.5,12,Reggae,1970.0
2250,762652,17,0.09926470588235294,1.1005002485969202,1.1018028073238542,1.1031053660507883,1.1044079247777223,1.1057104835046565,Big Youth,48.5,4,Reggae,1970.0
2275,218885,21,0.06190476190476193,1.0268585855291998,1.0617259184656418,1.0965932514020833,1.131460584338525,1.1663279172749668,Horace Andy,56.0,2,Reggae,1970.0
3068,574057,14,0.07142857142857142,0.849771363008324,0.8564963543670661,0.8632213457258082,0.8699463370845502,0.8766713284432923,Sugar Minott,56.0,2,Reggae,1970.0
2672,219334,12,0.11363636363636365,1.0154693623985702,0.9925242498669201,0.9695791373352696,0.9466340248036192,0.9236889122719688,I-Roy,32.0,2,Reggae,1970.0
2747,52151,16,0.075,0.9348359190006854,0.9461547587115592,0.957473598422433,0.9687924381333066,0.9801112778441804,Augustus Pablo,33.4375,32,Reggae,1970.0
2291,776659,15,0.11428571428571427,1.1172785577130144,1.1038029815769712,1.0903274054409282,1.0768518293048852,1.0633762531688422,Israel Vibration,36.25,8,Reggae,1970.0
1480,81683,21,0.11190476190476192,1.3007410928265162,1.3082201750332263,1.3156992572399364,1.3231783394466463,1.3306574216533564,Black Uhuru,32.68292683,41,Reggae,1970.0
1662,242861,25,0.06333333333333334,1.165686839537087,1.2128719549754754,1.2600570704138638,1.3072421858522525,1.3544273012906412,Dennis Brown,41.07692308,26,Reggae,1970.0
5404,177957,1,0.0,0.03275075987841945,0.0360258358662614,0.039300911854103344,0.042575987841945294,0.04585106382978723,Don Carlos,35.71428571,14,Reggae,1970.0
631,603590,36,0.08253968253968254,1.6311508597329556,1.70384124488428,1.7765316300356044,1.8492220151869287,1.9219124003382533,Aswad,36.0,10,Reggae,1970.0
772,788508,30,0.10344827586206896,1.5491762597263408,1.590763193024224,1.6323501263221063,1.6739370596199892,1.7155239929178716,Beenie Man,49.05,20,Reggae,1970.0
